Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,ROOFS/WINDOWS,Design,PNS,PNS,PNS,PNS,605469,605469,88921,"DSF: 0000832537, 0000877090"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,ROOFS/WINDOWS,Construction,PNS,PNS,PNS,PNS,11128547,11128547,23419,"DSF: 0000832537, 0000877090"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,ROOFS/WINDOWS,"CM, F&E",PNS,PNS,PNS,PNS,741738,741738,10751,"DSF: 0000832537, 0000877090"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,12/12/2017,4/13/2018,12/14/2017,4610,992,992,DSF: 0000867046
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,12/14/2017,6/12/2018,,16904,16904,3967,DSF: 0000867046
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,179034,179034,0,DSF: 0000867046
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,131423,131423,0,DSF: 0000867046
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Scope,Complete,12/21/2015,5/19/2016,2/9/2016,0,26682,26682,DSF: 0000822834
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Design,PNS,PNS,PNS,PNS,18000,106241,1954,DSF: 0000822834
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,264000,1949530,0,DSF: 0000822834
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,"CM, F&E",PNS,PNS,PNS,PNS,18000,132923,0,DSF: 0000822834
3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,Complete,1/19/2017,4/20/2017,3/20/2017,0,15378,15378,DSF: 0000844185
3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,PNS,PNS,PNS,PNS,12000,84730,955,DSF: 0000844185
3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,176000,1468256,3709,DSF: 0000844185
3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,12000,100108,3911,DSF: 0000844185
3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Scope,Complete,1/18/2017,5/3/2017,3/6/2017,0,19655,19655,DSF: 0000844927
3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Design,In-Progress,10/11/2017,3/16/2018,,18600,4421,4421,DSF: 0000844927
3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,272800,272800,6637,DSF: 0000844927
3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,18600,18600,4952,DSF: 0000844927
3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866324
3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,Design,PNS,PNS,PNS,PNS,16800,16800,0,DSF: 0000866324
3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,Construction,PNS,PNS,PNS,PNS,246400,246400,0,DSF: 0000866324
3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,"CM, F&E",PNS,PNS,PNS,PNS,16800,16800,0,DSF: 0000866324
3,M490,MANHATTAN THEATER LAB - MANHAT,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,5654,0,DSF: 0000777127
3,M490,HS FOR ARTS & TECHNOLOGY - M,DOE - Skilled Trades,WATER BOOSTER PUMPS,Construction,In-Progress,3/4/2016,DOES,,DOES,62928,62928,DSF: 0000844150
3,M837,WEST END SECONDARY SCHOOL - M,SCA Lease Site Impro,LEASE (PHASE II),Scope,Complete,6/9/2014,8/28/2014,8/28/2014,342350,455743,455592,DSF: 0000800279
3,M837,WEST END SECONDARY SCHOOL - M,SCA Lease Site Impro,LEASE (PHASE II),Design,Complete,8/29/2014,12/15/2014,9/16/2016,1095520,1927382,1824311,DSF: 0000800279
3,M837,WEST END SECONDARY SCHOOL - M,SCA Lease Site Impro,LEASE (PHASE II),Construction,In-Progress,1/18/2017,2/6/2019,,15364668,14321206,6291132,DSF: 0000800279
3,M837,WEST END SECONDARY SCHOOL - M,SCA Lease Site Impro,LEASE (PHASE II),"CM, F&E",In-Progress,1/18/2017,2/6/2019,,2163652,940541,310575,DSF: 0000800279
3,M841,M811 SPED - MANHATTAN,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/WINDOWS,Scope,Complete,6/22/2017,12/22/2017,10/31/2017,71049,53823,42223,"DSF: 0000045266, 0000877454, 0000888888"
3,M841,M811 SPED - MANHATTAN,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/WINDOWS,Design,PNS,PNS,PNS,PNS,274428,274428,95308,"DSF: 0000045266, 0000877454, 0000888888"
3,M841,M811 SPED - MANHATTAN,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/WINDOWS,Construction,PNS,PNS,PNS,PNS,4268779,4268779,536,"DSF: 0000045266, 0000877454, 0000888888"
3,M841,M811 SPED - MANHATTAN,SCA CIP,EXT MASONRY/FLOOD ELIMINATION/WINDOWS,"CM, F&E",PNS,PNS,PNS,PNS,458556,458556,3127,"DSF: 0000045266, 0000877454, 0000888888"
3,M841,M811 SPED - MANHATTAN,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,2/16/2017,4/14/2017,3/21/2017,0,7330,7330,DSF: 0000844928
3,M841,M811 SPED - MANHATTAN,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,3/21/2017,8/3/2017,5/15/2017,26869,32717,20503,DSF: 0000844928
3,M841,M811 SPED - MANHATTAN,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,6/28/2017,3/24/2018,,394078,438875,5879,DSF: 0000844928
3,M841,M811 SPED - MANHATTAN,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",In-Progress,6/28/2017,3/24/2018,,26869,42297,14980,DSF: 0000844928
3,M932,P.S. 859 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,842333,0,DSF: 0000776542
4,M007,P.S. 7 - MANHATTAN,SCA IEH,IEH PO18-4TH FL HALL & ROOM 403,Construction,Complete,2/3/2017,IEH,7/24/2017,IEH,203486,4370,DSF: 0000045105
4,M007,P.S. 7 - MANHATTAN,SCA IEH,IEH PO18-3RD FL HALLWAY & ROOM 330,Construction,Complete,4/3/2017,IEH,12/31/2017,IEH,1632,1132,DSF: 0000046027
4,M007,P.S. 7 - MANHATTAN,SCA IEH,IEH PO18-LIBRARY ROOM 419,Construction,Complete,9/7/2017,IEH,12/24/2017,IEH,37943,1562,DSF: 0000048578
4,M007,P.S. 7 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,8/30/2017,DOES,,DOES,170000,798,DSF: 0000865994
4,M013,P.S. 497 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866429
4,M013,P.S. 497 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,PNS,PNS,PNS,PNS,6900,6900,0,DSF: 0000866429
4,M013,P.S. 497 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,101200,101200,0,DSF: 0000866429
4,M013,P.S. 497 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,6900,6900,0,DSF: 0000866429
4,M013,CENTRAL PARK EAST HS - M,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866417
4,M013,CENTRAL PARK EAST HS - M,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866417
4,M013,CENTRAL PARK EAST HS - M,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,110000,110000,0,DSF: 0000866417
4,M013,CENTRAL PARK EAST HS - M,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000866417
4,M013,P.S. 497 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,94315,0,DSF: 0000777065
4,M013,I.S. 13 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,94315,0,DSF: 0000777064
4,M013,CENTRAL PARK EAST HS - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/26/2017,1/15/2018,9/19/2017,126000,103326,103326,DSF: 0000845275
4,M013,I.S. 13 - MANHATTAN,DOE- RESOA,FY16 RESO A INTERIOR MODERNIZATIONS,Construction,In-Progress,10/7/2016,DOER,,200000,183521,183521,DSF: 0000822748
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,FLOOD ELIMINATION/EXTERIOR MASONRY,Scope,Complete,1/20/2015,6/4/2015,9/28/2015,29850,90141,89567,"DSF: 0000808442, 0000830519"
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,FLOOD ELIMINATION/EXTERIOR MASONRY,Design,Complete,2/26/2016,7/27/2016,7/27/2016,109450,143603,76177,"DSF: 0000808442, 0000830519"
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,FLOOD ELIMINATION/EXTERIOR MASONRY,Construction,In-Progress,7/10/2017,7/9/2018,,1159175,1048402,21098,"DSF: 0000808442, 0000830519"
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP,FLOOD ELIMINATION/EXTERIOR MASONRY,"CM, F&E",In-Progress,7/10/2017,7/9/2018,,268650,103602,103518,"DSF: 0000808442, 0000830519"
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866432
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000866432
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,44000,44000,0,DSF: 0000866432
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000866432
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867408
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,Design,PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000867408
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,44000,44000,0,DSF: 0000867408
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000867408
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,SCA IEH,"IEH PO18-ROOMS 127, 237, 238",Construction,Complete,2/27/2017,IEH,10/12/2017,IEH,67090,2404,DSF: 0000045440
4,M045,COAL. SCHOOL FOR SOCIAL CHANGE,Fast Track Projects,CTF ROOM CONVERSION,Construction,Complete,2/22/2017,FTK,10/5/2017,FTK,613060,512698,DSF: 0000844114
4,M050,P.S. 50 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,Scope,Complete,11/2/2015,3/22/2016,7/8/2016,242446,161804,160747,"DSF: 0000830599, 0000830600, 0000830601, 0000852590"
4,M050,P.S. 50 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,Design,Complete,8/19/2016,1/25/2017,5/15/2017,966439,739087,488929,"DSF: 0000830599, 0000830600, 0000830601, 0000852590"
4,M050,P.S. 50 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,Construction,In-Progress,8/8/2017,9/6/2019,,17820985,16127798,42370,"DSF: 0000830599, 0000830600, 0000830601, 0000852590"
4,M050,P.S. 50 - MANHATTAN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS/SITE WALLS,"CM, F&E",In-Progress,8/8/2017,9/6/2019,,1174829,121514,107613,"DSF: 0000830599, 0000830600, 0000830601, 0000852590"
4,M050,P.S. 50 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Scope,Complete,1/19/2017,5/19/2017,3/21/2017,0,12948,2013,DSF: 0000844207
4,M050,P.S. 50 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,In-Progress,7/31/2017,1/3/2018,,51000,40858,8052,DSF: 0000844207
4,M050,P.S. 50 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,748000,748000,3572,DSF: 0000844207
4,M050,P.S. 50 - MANHATTAN,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,51000,51000,13422,DSF: 0000844207
4,M050,P.S. 50 - MANHATTAN,SCA IEH,IEH PO18-ROOM 103,Construction,Complete,5/15/2017,IEH,8/13/2017,IEH,38660,4424,DSF: 0000046749
4,M057,P.S. 57 - MANHATTAN,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867410
4,M057,P.S. 57 - MANHATTAN,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,Design,PNS,PNS,PNS,PNS,3000,3000,0,DSF: 0000867410
4,M057,P.S. 57 - MANHATTAN,SCA CIP RESOA,FY18 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,44000,44000,0,DSF: 0000867410
15,K024,P.S. 24 - BROOKLYN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,8/8/2016,DOES,,DOES,68906,28958,DSF: 0000844722
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866670
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,6900,6900,0,DSF: 0000866670
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,101200,101200,0,DSF: 0000866670
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,6900,6900,0,DSF: 0000866670
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA IEH,IEH PO18-TEACHERS BATHROOM NEXT TO PROJECTIN ROOM,Construction,In-Progress,4/3/2017,IEH,,IEH,4942,242,DSF: 0000045955
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,11/25/2016,DOES,,DOES,322047,322047,DSF: 0000801622
15,K029,P.S. 29 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/14/2017,7/14/2017,9/21/2017,35000,34737,34737,DSF: 0000845223
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,Scope,Complete,3/4/2015,8/18/2015,8/19/2015,1860650,1427722,1416079,DSF: 0000798185
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,Design,Complete,8/20/2015,4/1/2016,3/10/2017,5954080,4025375,2093863,DSF: 0000798185
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,Construction,In-Progress,7/12/2017,7/10/2021,,83505972,75742675,1870759,DSF: 0000798185
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,7/12/2017,7/10/2021,,11759308,4643029,924065,DSF: 0000798185
15,K032,P.S. 032 SAMUEL MILLS SPROLE,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,10/3/2017,2/1/2018,,35000,34736,34736,DSF: 0000845224
15,K038,P.S. 38 - BROOKLYN,SCA IEH,IEH PO18-RM 338,Construction,In-Progress,8/14/2017,IEH,,IEH,25338,632,DSF: 0000048172
15,K038,P.S. 38 - BROOKLYN,DOE- RESOA,FY16 RESO A TOILETS - STUDENTS,Construction,In-Progress,7/1/2017,DOER,,150000,136836,136836,DSF: 0000822915
15,K039,P.S. 39 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/26/2017,1/15/2018,9/18/2017,35000,34737,34737,DSF: 0000845227
15,K058,P.S. 58 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,Scope,Complete,5/12/2017,10/13/2017,6/16/2017,100975,65087,57657,"DSF: 0000798389, 0000798396"
15,K058,P.S. 58 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,Design,Complete,6/19/2017,11/20/2017,10/25/2017,403898,144800,144800,"DSF: 0000798389, 0000798396"
15,K058,P.S. 58 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,Construction,PNS,PNS,PNS,PNS,7573099,7573099,15844,"DSF: 0000798389, 0000798396"
15,K058,P.S. 58 - BROOKLYN,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,"CM, F&E",PNS,PNS,PNS,PNS,471215,471215,9779,"DSF: 0000798389, 0000798396"
15,K058,P.S. 58 - BROOKLYN,SCA IEH,"IEH PO18-RMS 315,220,215,213,205",Construction,Complete,5/12/2017,IEH,7/30/2017,IEH,121242,6124,DSF: 0000046730
15,K058,P.S. 58 - BROOKLYN,SCA IEH,"IEH PO18-RMS 305,307,327,316,227",Construction,In-Progress,11/16/2017,IEH,,IEH,112782,3848,DSF: 0000049365
15,K058,P.S. 058 THE CARROLL,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/20/2017,7/12/2017,10/6/2017,35000,34737,34737,DSF: 0000800533
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,Scope,Complete,7/19/2013,12/20/2013,1/31/2014,88440,99446,99446,"DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,Design,Complete,2/3/2014,7/3/2014,7/27/2016,353760,397776,342827,"DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,Construction,In-Progress,10/17/2016,6/8/2018,,6633000,6212675,3635527,"DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP,PLANYC BOILER REPLACEMENT/PLANYC CLIMATE CONTROL,"CM, F&E",In-Progress,10/17/2016,6/8/2018,,412720,361938,361128,"DSF: 0000775609, 0000775610"
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000867302
15,K088,I.S. 88 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,2/15/2017,F&E,10/2/2017,100000,100000,99895,DSF: 0000844288
15,K088,I.S. 88 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,6/21/2017,7/21/2017,,60000,57951,57951,DSF: 0000844875
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,Scope,Complete,1/25/2017,6/9/2017,2/8/2017,67910,186152,140526,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,Design,In-Progress,2/10/2017,7/13/2017,,270138,279256,134323,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,4930293,4930293,14159,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP,EXT MASONRY/WINDOWS/FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,336434,336434,22609,"DSF: 0000821882, 0000846897, 0000846900"
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,24000,24000,0,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,352000,352000,0,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,24000,24000,0,DSF: 0000867291
15,K094,P.S. 94 - BROOKLYN,SCA IEH,"IEH PO18-RM 413A -BATHROOM, RM 309 -COMPUTER RM CL",Construction,In-Progress,11/10/2016,IEH,,IEH,10251,1751,DSF: 0000043648
15,K094,P.S. 94 - BROOKLYN,SCA IEH,IEH PO18-RM 302,Construction,Complete,4/21/2017,IEH,7/15/2017,IEH,33424,1248,DSF: 0000046346
15,K094,P.S. 94 - BROOKLYN,SCA IEH,IEH PO18-HALLWAY & STAIRWELLS ON 2ND FL,Construction,In-Progress,8/9/2017,IEH,,IEH,7836,436,DSF: 0000048066
15,K094,P.S. 94 - BROOKLYN,SCA IEH,"IEH PO18-RM 212,205,203,201",Construction,Complete,8/22/2017,IEH,8/24/2017,IEH,46026,6930,DSF: 0000048326
15,K094,P.S. 94 - BROOKLYN,SCA IEH,IEH PO18-VESTIBULE,Construction,In-Progress,12/15/2017,IEH,,IEH,20762,1486,DSF: 0000049826
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Scope,Complete,5/5/2017,9/20/2017,11/6/2017,60445,70689,37430,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Design,In-Progress,11/29/2017,5/2/2018,,239847,239847,8321,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,Construction,PNS,PNS,PNS,PNS,4323727,4323727,1706,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,SCA CIP,EXTERIOR MASONRY/ROOFS/PARAPETS,"CM, F&E",PNS,PNS,PNS,PNS,307188,307188,6611,"DSF: 0000869783, 0000869784, 0000869785"
15,K107,P.S. 107 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/21/2017,7/21/2017,9/26/2017,35000,34737,34737,DSF: 0000845214
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Scope,Complete,4/27/2015,9/10/2015,11/2/2015,87193,92975,88660,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Design,Complete,12/8/2015,5/10/2016,7/12/2016,326362,240527,183399,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,Construction,In-Progress,7/10/2017,10/2/2018,,4107567,3675766,36525,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
15,K124,P.S. 124 - BROOKLYN,SCA CIP,FLOOD/ROOFS/PARAPETS/EXT MASONRY,"CM, F&E",In-Progress,7/10/2017,10/2/2018,,698295,15572,15572,"DSF: 0000802950, 0000825393, 0000825394, 0000843697"
